player_num,position,player_name,player_name,club,age,height,weight,birthplace,status,height in cm,weight in grams
184,29,F,Antoine Hoppenot,Philadelphia Union,24,5' 8'',155,USA,Active,172.72,70306.81735
185,18,D,David Horst,Houston Dynamo,29,6' 4'',210,USA,Active,193.04,95254.3977
186,19,F/M,Erik Hurtado,Vancouver Whitecaps FC,24,5' 10'',180,USA,Active,177.8,81646.6266
187,6,M,Baggio Husidic,LA Galaxy,27,6' 1'',172,Bosnia and Herzegovina,Active,185.42,78017.88764
188,NA,F,Kennedy Igboananike,Chicago Fire,25,5' 9'',154,Nigeria,Active,175.26,69853.22498
189,NA,D,Samuel Inkoom,Houston Dynamo,25,5' 10'',NA,Ghana,Active,177.8,#VALUE!
190,1,GK,Clint Irwin,Colorado Rapids,25,6' 3'',195,USA,Active,190.5,88450.51215
191,24,M,Stefan Ishizaki,LA Galaxy,32,5' 11'',165,Sweden,Active,180.34,74842.74105
192,24,F,Anthony Jackson-Hamel,Montreal Impact,21,6' 1'',180,USA,Active,185.42,81646.6266
193,NA,M,Andrew Jacobson,New York City FC,29,6' 2'',185,USA,Active,187.96,83914.58845
194,14,F,Adam Jahn,San Jose Earthquakes,24,6' 3'',185,USA,Active,190.5,83914.58845
195,23,F,Sebastian Jaime,Real Salt Lake,27,5' 11'',160,Argentina,Active,180.34,72574.7792
196,38,F,Bradford Jamieson,LA Galaxy,18,6' 1'',165,USA,Active,185.42,74842.74105
197,25,M,Jared Jeffrey,D.C. United,24,5' 11'',165,USA,Active,180.34,74842.74105
198,13,M,Jack Jewsbury,Portland Timbers,33,6',185,USA,Active,182.88,83914.58845
199,12,M,Hector Jimenez,Columbus Crew SC,26,5' 9'',140,USA,Active,175.26,63502.9318
200,NA,D,George John,New York City FC,27,6' 3'',203,USA,Active,190.5,92079.25111
201,7,F,Eddie Johnson,D.C. United,30,6',180,USA,Active,182.88,81646.6266
202,4,M,Will Johnson,Portland Timbers,27,5' 10'',160,Canada,Active,177.8,72574.7792
203,25,GK,Sean Johnson,Chicago Fire,25,6' 3'',217,USA,Active,190.5,98429.54429
204,14,F,Jason Johnson,Houston Dynamo,24,6',180,Jamaica,Active,182.88,81646.6266
205,13,M,Jermaine Jones,New England Revolution,33,6',170,Germany,Active,182.88,77110.7029
206,NA,D/M,Joevin Jones,Chicago Fire,23,5' 8'',160,Trinidad,Active,172.72,72574.7792
207,NA,F,Darwin Jones,Seattle Sounders FC,22,5' 10'',175,,Active,177.8,79378.66475
208,6,M,José Mari,Colorado Rapids,27,5' 11'',150,Spain,Active,180.34,68038.8555
209,40,D,Igor Julião,Sporting Kansas City,20,5' 8'',145,Brazil,Active,172.72,65770.89365
210,19,M,Juninho,LA Galaxy,26,5' 7'',140,Brazil,Active,170.18,63502.9318
211,10,M,Kaká,Orlando City SC,32,6' 1'',181,Brazil,Active,185.42,82100.21897
212,NA,F,Kei Kamara,Columbus Crew SC,30,6' 3'',186,Sierra Leone,Active,190.5,84368.18082
213,1,GK,Alec Kann,Chicago Fire,24,6' 4'',190,USA,Active,193.04,86182.5503
214,7,F,Robbie Keane,LA Galaxy,34,5' 9'',160,Ireland,Active,175.26,72574.7792
215,22,D,Stephen Keel,FC Dallas,31,6',185,USA,Active,182.88,83914.58845
216,33,D,Taylor Kemp,D.C. United,24,5' 11'',153,USA,Active,180.34,69399.63261
217,21,GK,Jon Kempin,Sporting Kansas City,21,6' 1'',170,USA,Active,185.42,77110.7029
218,NA,GK,Dan Kennedy,FC Dallas,32,6' 1'',200,USA,Active,185.42,90718.474
219,23,M/D,Perry Kitchen,D.C. United,22,6',160,USA,Active,182.88,72574.7792
220,15,D,Chris Klute,Colorado Rapids,24,6' 1'',172,USA,Active,185.42,78017.88764
221,18,D,Zat Knight,Colorado Rapids,34,6' 6'',225,England,Active,198.12,102058.2833
222,18,G,Brad Knighton,New England Revolution,29,6' 1'',180,USA,Active,185.42,81646.6266
223,16,M,Daigo Kobayashi,New England Revolution,31,5' 10'',150,Japan,Active,177.8,68038.8555
224,28,M,Gershon Koffie,Vancouver Whitecaps FC,23,6',175,Ghana,Active,182.88,79378.66475
225,1,GK,Chris Konopka,Toronto FC,29,6' 5'',228,USA,Active,195.58,103419.0604
226,22,D,Chris Korb,D.C. United,27,5' 9'',160,USA,Active,175.26,72574.7792
227,15,M,JJ Koval,San Jose Earthquakes,22,6' 1'',175,USA,Active,185.42,79378.66475
228,11,M,Aaron Kovar,Seattle Sounders FC,21,5' 10'',155,USA,Active,177.8,70306.81735
229,23,D,Krzysztof Krol,Montreal Impact,27,6' 1'',161,Poland,Active,185.42,73028.37157
230,NA,GK,Eric Kronberg,Montreal Impact,31,6' 5'',210,USA,Active,195.58,95254.3977
231,NA,GK,Adam Kwarasey,Portland Timbers,27,6' 3'',180,Norway,Active,190.5,81646.6266
232,15,M,Matías Laba,Vancouver Whitecaps FC,23,5' 9'',154,Argentina,Active,175.26,69853.22498
233,16,D,Connor Lade,New York Red Bulls,25,5' 7'',145,USA,Active,170.18,65770.89365
234,13,M,Michael Lahoud,Philadelphia Union,28,5' 8'',162,Sierra Leone,Active,172.72,73481.96394
235,28,GK,Matt Lampson,Columbus Crew SC,25,6' 3'',190,USA,Active,190.5,86182.5503
236,20,M,Jeff Larentowicz,Chicago Fire,31,6' 1'',175,USA,Active,185.42,79378.66475
237,NA,F,Cyle Larin,,19,6' 2'',190,,Active,187.96,86182.5503
238,11,F,Sébastien Le Toux,Philadelphia Union,31,6',155,France,Active,182.88,70306.81735
239,55,D,Wandrille Lefèvre,Montreal Impact,25,6' 1'',175,France,Active,185.42,79378.66475
240,24,F,Steven Lenhart,San Jose Earthquakes,28,6' 1'',190,USA,Active,185.42,86182.5503
241,22,D,Leonardo,LA Galaxy,26,6' 2'',185,Brazil,Active,187.96,83914.58845
242,25,M,Andre Lewis,Vancouver Whitecaps FC,20,5' 9'',145,Jamaica,Active,175.26,65770.89365
243,30,GK,Michael Lisch,Houston Dynamo,24,6' 4'',175,,Active,193.04,79378.66475
244,25,M,Aaron Long,Seattle Sounders FC,22,6' 1'',173,USA,Active,185.42,78471.48001
245,12,M,Mikey Lopez,Sporting Kansas City,21,5' 8'',160,USA,Active,172.72,72574.7792
246,26,D,Adrián López,Montreal Impact,27,6',192,Spain,Active,182.88,87089.73504
247,10,M,Alexander López,Houston Dynamo,22,5' 9'',155,Honduras,Active,175.26,70306.81735
248,35,M,Daniel Lovitz,Toronto FC,23,5' 10'',170,USA,Active,177.8,77110.7029
249,31,D,Damion Lowe,Seattle Sounders FC,21,6' 3'',175,Jamaica,Active,190.5,79378.66475
250,17,D,Zach Loyd,FC Dallas,27,5' 10'',168,USA,Active,177.8,76203.51816
251,8,F,Péguy Luyindula,New York Red Bulls,35,5' 10'',158,Democratic Republic of the Congo,Active,177.8,71667.59446
252,NA,GK,Zac MacMath,Colorado Rapids,23,6',176,USA,Active,182.88,79832.25712
253,9,F,Mike Magee,Chicago Fire,30,5' 10'',160,USA,Active,177.8,72574.7792
254,10,M,Cristian Maidana,Philadelphia Union,27,5' 11'',165,Argentina,Active,180.34,74842.74105
255,16,D,Calum Mallace,Montreal Impact,25,6' 1'',181,Scotland,Active,185.42,82100.21897
256,23,F,Kekuta Manneh,Vancouver Whitecaps FC,20,5' 9'',140,Gambia,Active,175.26,63502.9318
